coin_id,timestamp_utc,close_price,market_cap,total_volume
doge,2025-10-31 22:01:15,0.18607865,28203699205.19,1612262149.91
doge,2025-10-31 23:01:32,0.18613342,28207185176.99,1584221051.81
doge,2025-11-01 00:01:40,0.18645789,28270346086.31,1466701649.80
doge,2025-11-01 01:01:28,0.18608500,28203955201.16,1451570325.71
doge,2025-11-01 02:00:43,0.18585647,28185950455.81,1426041861.55
doge,2025-11-01 03:01:16,0.18617919,28193648678.85,1340647738.03
doge,2025-11-01 04:02:04,0.18682665,28315935834.20,1338924605.31
doge,2025-11-01 05:01:44,0.18677841,28302285553.89,1276475252.77
doge,2025-11-01 06:01:42,0.18624505,28243472133.55,1308869543.84
doge,2025-11-01 07:01:26,0.18560418,28126982086.84,1243624429.78
doge,2025-11-01 08:01:15,0.18685407,28295776699.66,1297010076.72
doge,2025-11-01 09:01:52,0.18719295,28353313893.38,1240284021.75
doge,2025-11-01 10:02:28,0.18700990,28338974033.66,1232462743.38
doge,2025-11-01 11:07:26,0.18708550,28362177252.96,1226951567.07
doge,2025-11-01 12:01:36,0.18685670,28326840236.42,1247487910.40
doge,2025-11-01 13:01:39,0.18699662,28353597222.07,1136621106.33
doge,2025-11-01 14:05:46,0.18657257,28289421083.77,1113042714.95
doge,2025-11-01 15:01:48,0.18594245,28211687768.56,1133575288.78
doge,2025-11-01 16:02:18,0.18684603,28323237255.24,1044968482.66
doge,2025-11-01 17:00:44,0.18745115,28434574042.18,1001767684.62
doge,2025-11-01 18:01:36,0.18678271,28322957940.97,943137661.52
doge,2025-11-01 19:00:03,0.18710629,28358206003.48,890775665.68
doge,2025-11-01 20:01:24,0.18722208,28375860132.65,831594467.46
doge,2025-11-01 21:02:15,0.18775790,28474875964.59,818000035.26
doge,2025-11-01 22:01:47,0.18673529,28304744519.56,799553406.57
doge,2025-11-01 23:01:12,0.18686007,28315414409.82,813105655.83
doge,2025-11-02 00:02:17,0.18733562,28392051467.16,802455708.91
doge,2025-11-02 01:00:27,0.18682430,28322267409.71,772271705.31
doge,2025-11-02 02:01:36,0.18616463,28239704722.97,768058350.73
doge,2025-11-02 03:05:25,0.18636178,28259972903.12,775671609.34
doge,2025-11-02 04:01:47,0.18616574,28222678105.84,742158737.89
doge,2025-11-02 05:01:20,0.18741528,28399436005.04,746996292.67
